DESCRIPCIÓN DE LA SERIE;MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UNA SEMANA.;MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A UN MES.;MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A TRES MES.;MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A SEIS MES.;Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Tipo medio adq. vivienda libre. Más de 3 años. Conjunto EC España;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Tipo medio adq. vivienda libre. Entre 1 y 5 años. Conjunto EC UEM;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. interest Rate Swap a 5 años;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Rendimiento interno Deuda Pública 2 a 6 años. Mercado secundario;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Interbancario. Mibor a 1 año;Tipo de interés. Tipos legales. Interés legal;Tipo de interés. Tipos legales. interés Ley enjuiciamiento civil;Tipo de interés. Tipos legales. Interés de demora a efectos tributarios;Tipo de interés. Tipos legales. Interés de demora en operaciones comerciales;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A un año;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A dos años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A tres años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A cuatro años;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. interest Rate Swap a 5 años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A siete años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A diez años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A quince años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A veinte años;Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A treinta años;Tipo de interés. De referencia. Mercado hipotecario. Interbancario.Fecha BOE;Tipo de interés. De referencia. Mercado hipotecario. Tipo medio préstamos hipotecarios.Fecha BOE;Tipo de interés. De referencia. Mercado hipotecario. Deuda Pública de 2 a 6 años.Fecha BOE;Tipo de interés. De referencia. Mercado hipotecario. Fecha BOE IRS;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Tipo medio adq. vivienda libre. Más de 3 años. Conjunto EC España;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Información adicional sobre préstamos el cálculo del IRPH. Importe agregado de préstamos;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Información adicional sobre préstamos el cálculo del IRPH. Número de operaciones;Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Información adicional sobre préstamos el cálculo del IRPH. Entidades contribuidoras;
DESCRIPCIÓN DE LAS UNIDADES;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Porcentaje;Fecha;Fecha;Fecha;Fecha;Porcentaje;Miles de Euros;Operaciones;Entidades;
FRECUENCIA;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;MENSUAL;
ENE 1999;-;-;-;-;3,0620;5,1310;-;-;3,6580;3,0650;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;1999-Feb-20;1999-Feb-20;1999-Feb-20;-;5,1310;-;-;-;
FEB 1999;-;-;-;-;3,0300;4,9500;-;-;3,5130;3,0350;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;1999-Mar-23;1999-Mar-23;1999-Mar-23;-;4,9500;-;-;-;
MAR 1999;-;-;-;-;3,0460;4,8160;-;-;3,4350;3,0310;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;1999-Abr-20;1999-Abr-20;1999-Abr-20;-;4,8160;-;-;-;
ABR 1999;-;-;-;-;2,7560;4,7870;-;-;3,3490;2,7090;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;1999-May-20;1999-May-20;1999-May-20;-;4,7870;-;-;-;
MAY 1999;-;-;-;-;2,6830;4,6440;-;-;3,2720;2,6560;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;1999-Jun-21;1999-Jun-21;1999-Jun-21;-;4,6440;-;-;-;
JUN 1999;-;-;-;-;2,8360;4,5020;-;-;3,3100;2,7800;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;1999-Jul-21;1999-Jul-21;1999-Jul-21;-;4,5020;-;-;-;
JUL 1999;-;-;-;-;3,0300;4,4350;-;-;3,4420;3,0180;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;1999-Ago-23;1999-Ago-23;1999-Ago-23;-;4,4350;-;-;-;
AGO 1999;-;-;-;-;3,2370;4,4710;-;-;3,5990;3,2330;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;1999-Sep-22;1999-Sep-22;1999-Sep-22;-;4,4710;-;-;-;
SEP 1999;-;-;-;-;3,3010;4,5450;-;-;3,7580;3,2600;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;1999-Oct-22;1999-Oct-22;1999-Oct-22;-;4,5450;-;-;-;
OCT 1999;-;-;-;-;3,6840;4,6650;-;-;4,0040;3,6070;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;1999-Nov-20;1999-Nov-20;1999-Nov-20;-;4,6650;-;-;-;
NOV 1999;-;-;-;-;3,6890;4,8070;-;-;4,2170;3,6590;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;1999-Dic-21;1999-Dic-21;1999-Dic-21;-;4,8070;-;-;-;
DIC 1999;-;-;-;-;3,8260;4,9400;-;-;4,3970;3,8060;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2000-Ene-21;2000-Ene-21;2000-Ene-21;-;4,9400;-;-;-;
ENE 2000;-;-;-;-;3,9490;5,0400;-;-;4,5610;3,9240;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2000-Feb-19;2000-Feb-19;2000-Feb-19;-;5,0400;-;-;-;
FEB 2000;-;-;-;-;4,1110;5,1660;-;-;4,6890;4,0990;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2000-Mar-21;2000-Mar-21;2000-Mar-21;-;5,1660;-;-;-;
MAR 2000;-;-;-;-;4,2670;5,2310;-;-;4,7950;4,2590;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2000-Abr-22;2000-Abr-22;2000-Abr-22;-;5,2310;-;-;-;
ABR 2000;-;-;-;-;4,3650;5,3530;-;-;4,8260;4,3480;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2000-May-20;2000-May-20;2000-May-20;-;5,3530;-;-;-;
MAY 2000;-;-;-;-;4,8490;5,5220;-;-;4,9650;4,8470;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2000-Jun-20;2000-Jun-20;2000-Jun-20;-;5,5220;-;-;-;
JUN 2000;-;-;-;-;4,9650;5,7030;-;-;5,0540;4,9590;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2000-Jul-20;2000-Jul-20;2000-Jul-20;-;5,7030;-;-;-;
JUL 2000;-;-;-;-;5,1050;5,8910;-;-;5,1150;5,0970;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2000-Ago-21;2000-Ago-21;2000-Ago-21;-;5,8910;-;-;-;
AGO 2000;-;-;-;-;5,2480;6,0290;-;-;5,1800;5,2470;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2000-Sep-21;2000-Sep-21;2000-Sep-21;-;6,0290;-;-;-;
SEP 2000;-;-;-;-;5,2190;6,2320;-;-;5,2510;5,2080;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2000-Oct-17;2000-Oct-17;2000-Oct-17;-;6,2320;-;-;-;
OCT 2000;-;-;-;-;5,2180;6,2840;-;-;5,2990;5,2120;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2000-Nov-21;2000-Nov-21;2000-Nov-21;-;6,2840;-;-;-;
NOV 2000;-;-;-;-;5,1930;6,3480;-;-;5,2870;5,1880;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2000-Dic-22;2000-Dic-22;2000-Dic-22;-;6,3480;-;-;-;
DIC 2000;-;-;-;-;4,8810;6,3710;-;-;5,2410;4,8890;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2001-Ene-20;2001-Ene-20;2001-Ene-20;-;6,3710;-;-;-;
ENE 2001;-;-;-;-;4,5740;6,3900;-;-;5,1220;4,5640;5,5000;7,5000;6,5000;-;-;-;-;-;-;-;-;-;-;-;2001-Feb-21;2001-Feb-21;2001-Feb-21;-;6,3900;-;-;-;
FEB 2001;-;-;-;-;4,5910;6,2800;-;-;5,0000;4,5820;5,5000;7,5000;6,5000;-;-;-;-;-;-;-;-;-;-;-;2001-Mar-21;2001-Mar-21;2001-Mar-21;-;6,2800;-;-;-;
MAR 2001;-;-;-;-;4,4710;6,1470;-;-;4,8590;4,4690;5,5000;7,5000;6,5000;-;-;-;-;-;-;-;-;-;-;-;2001-Abr-21;2001-Abr-21;2001-Abr-21;-;6,1470;-;-;-;
ABR 2001;-;-;-;-;4,4810;6,0250;-;-;4,7510;4,4600;5,5000;7,5000;6,5000;-;-;-;-;-;-;-;-;-;-;-;2001-May-19;2001-May-19;2001-May-19;-;6,0250;-;-;-;
MAY 2001;-;-;-;-;4,5200;5,9260;-;-;4,6610;4,4990;5,5000;7,5000;6,5000;-;-;-;-;-;-;-;-;-;-;-;2001-Jun-20;2001-Jun-20;2001-Jun-20;-;5,9260;-;-;-;
JUN 2001;-;-;-;-;4,3120;5,8060;-;-;4,6180;4,3100;5,5000;7,5000;6,5000;-;-;-;-;-;-;-;-;-;-;-;2001-Jul-21;2001-Jul-21;2001-Jul-21;-;5,8060;-;-;-;
JUL 2001;-;-;-;-;4,3110;5,7680;-;-;4,6100;4,3100;5,5000;7,5000;6,5000;-;-;-;-;-;-;-;-;-;-;-;2001-Ago-21;2001-Ago-21;2001-Ago-21;-;5,7680;-;-;-;
AGO 2001;-;-;-;-;4,1080;5,7230;-;-;4,5710;4,1070;5,5000;7,5000;6,5000;-;-;-;-;-;-;-;-;-;-;-;2001-Sep-21;2001-Sep-21;2001-Sep-21;-;5,7230;-;-;-;
SEP 2001;-;-;-;-;3,7700;5,6270;-;-;4,5190;3,7710;5,5000;7,5000;6,5000;-;-;-;-;-;-;-;-;-;-;-;2001-Oct-19;2001-Oct-19;2001-Oct-19;-;5,6270;-;-;-;
OCT 2001;-;-;-;-;3,3690;5,3900;-;-;4,4010;3,3660;5,5000;7,5000;6,5000;-;-;-;-;-;-;-;-;-;-;-;2001-Nov-22;2001-Nov-22;2001-Nov-22;-;5,3900;-;-;-;
NOV 2001;-;-;-;-;3,1980;5,1900;-;-;4,2430;3,1960;5,5000;7,5000;6,5000;-;-;-;-;-;-;-;-;-;-;-;2001-Dic-21;2001-Dic-21;2001-Dic-21;-;5,1900;-;-;-;
DIC 2001;-;-;-;-;3,2980;4,8520;-;-;4,1590;3,2860;5,5000;7,5000;6,5000;-;-;-;-;-;-;-;-;-;-;-;2002-Ene-19;2002-Ene-19;2002-Ene-19;-;4,8520;-;-;-;
ENE 2002;-;-;-;-;3,4830;4,7370;-;-;4,0900;3,4750;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2002-Feb-20;2002-Feb-20;2002-Feb-20;-;4,7370;-;-;-;
FEB 2002;-;-;-;-;3,5940;4,7680;-;-;4,0650;3,5810;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2002-Mar-21;2002-Mar-21;2002-Mar-21;-;4,7680;-;-;-;
MAR 2002;-;-;-;-;3,8160;4,7850;-;-;4,1310;3,7990;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2002-Abr-19;2002-Abr-19;2002-Abr-19;-;4,7850;-;-;-;
ABR 2002;-;-;-;-;3,8600;4,8600;-;-;4,2470;3,8570;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2002-May-21;2002-May-21;2002-May-21;-;4,8600;-;-;-;
MAY 2002;-;-;-;-;3,9630;4,9850;-;-;4,4010;3,9480;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2002-Jun-19;2002-Jun-19;2002-Jun-19;-;4,9850;-;-;-;
JUN 2002;-;-;-;-;3,8690;4,9950;-;-;4,4530;3,8620;4,2500;6,2500;5,5000;-;-;-;-;-;-;-;-;-;-;-;2002-Jul-19;2002-Jul-19;2002-Jul-19;-;4,9950;-;-;-;
JUL 2002;-;-;-;-;3,6450;5,0090;-;-;4,4480;3,6430;4,2500;6,2500;5,5000;10,3500;-;-;-;-;-;-;-;-;-;-;2002-Ago-21;2002-Ago-21;2002-Ago-21;-;5,0090;-;-;-;
AGO 2002;-;-;-;-;3,4400;4,9990;-;-;4,3600;3,4370;4,2500;6,2500;5,5000;10,3500;-;-;-;-;-;-;-;-;-;-;2002-Sep-20;2002-Sep-20;2002-Sep-20;-;4,9990;-;-;-;
SEP 2002;-;-;-;-;3,2360;4,8180;-;-;4,2030;3,2410;4,2500;6,2500;5,5000;10,3500;-;-;-;-;-;-;-;-;-;-;2002-Oct-19;2002-Oct-19;2002-Oct-19;-;4,8180;-;-;-;
OCT 2002;-;-;-;-;3,1260;4,6900;-;-;4,0270;3,1270;4,2500;6,2500;5,5000;10,3500;-;-;-;-;-;-;-;-;-;-;2002-Nov-21;2002-Nov-21;2002-Nov-21;-;4,6900;-;-;-;
NOV 2002;-;-;-;-;3,0170;4,5170;-;-;3,8570;3,0200;4,2500;6,2500;5,5000;10,3500;-;-;-;-;-;-;-;-;-;-;2002-Dic-21;2002-Dic-21;2002-Dic-21;-;4,5170;-;-;-;
DIC 2002;-;-;-;-;2,8730;4,3800;-;-;3,7030;2,8780;4,2500;6,2500;5,5000;10,3500;-;-;-;-;-;-;-;-;-;-;2003-Ene-21;2003-Ene-21;2003-Ene-21;-;4,3800;-;-;-;
ENE 2003;-;-;-;-;2,7050;4,2520;-;-;3,5200;2,7030;4,2500;6,2500;5,5000;9,8500;-;-;-;-;-;-;-;-;-;-;2003-Feb-21;2003-Feb-21;2003-Feb-21;-;4,2520;-;-;-;
FEB 2003;-;-;-;-;2,5040;4,1460;-;-;3,3640;2,5130;4,2500;6,2500;5,5000;9,8500;-;-;-;-;-;-;-;-;-;-;2003-Mar-21;2003-Mar-21;2003-Mar-21;-;4,1460;-;-;-;
MAR 2003;-;-;-;-;2,4110;3,9760;-;-;3,2420;2,4200;4,2500;6,2500;5,5000;9,8500;-;-;-;-;-;-;-;-;-;-;2003-Abr-23;2003-Abr-23;2003-Abr-23;-;3,9760;-;-;-;
ABR 2003;-;-;-;-;2,4470;3,8860;-;-;3,1440;2,4580;4,2500;6,2500;5,5000;9,8500;-;-;-;-;-;-;-;-;-;-;2003-May-23;2003-May-23;2003-May-23;-;3,8860;-;-;-;
MAY 2003;-;-;-;-;2,2520;3,8230;-;-;2,9900;2,2530;4,2500;6,2500;5,5000;9,8500;-;-;-;-;-;-;-;-;-;-;2003-Jun-23;2003-Jun-23;2003-Jun-23;-;3,8230;-;-;-;
JUN 2003;-;-;-;-;2,0140;3,7070;-;-;2,8220;2,0330;4,2500;6,2500;5,5000;9,8500;-;-;-;-;-;-;-;-;-;-;2003-Jul-23;2003-Jul-23;2003-Jul-23;-;3,7070;-;-;-;
JUL 2003;-;-;-;-;2,0760;3,5410;-;-;2,7450;2,0820;4,2500;6,2500;5,5000;9,1000;-;-;-;-;-;-;-;-;-;-;2003-Ago-23;2003-Ago-23;2003-Ago-23;-;3,5410;-;-;-;
AGO 2003;-;-;-;-;2,2790;3,4700;-;-;2,7770;2,2790;4,2500;6,2500;5,5000;9,1000;-;-;-;-;-;-;-;-;-;-;2003-Sep-22;2003-Sep-22;2003-Sep-22;-;3,4700;-;-;-;
SEP 2003;-;-;-;-;2,2580;3,4280;-;-;2,8030;2,2630;4,2500;6,2500;5,5000;9,1000;-;-;-;-;-;-;-;-;-;-;2003-Oct-22;2003-Oct-22;2003-Oct-22;-;3,4280;-;-;-;
OCT 2003;-;-;-;-;2,3030;3,4420;-;-;2,8220;2,2990;4,2500;6,2500;5,5000;9,1000;-;-;-;-;-;-;-;-;-;-;2003-Nov-22;2003-Nov-22;2003-Nov-22;-;3,4420;-;-;-;
NOV 2003;-;-;-;-;2,4100;3,4320;-;-;2,9040;2,4090;4,2500;6,2500;5,5000;9,1000;-;-;-;-;-;-;-;-;-;-;2003-Dic-22;2003-Dic-22;2003-Dic-22;-;3,4320;-;-;-;
DIC 2003;-;-;-;-;2,3810;3,4580;-;-;3,0230;2,3830;4,2500;6,2500;5,5000;9,1000;-;-;-;-;-;-;-;-;-;-;2004-Ene-22;2004-Ene-22;2004-Ene-22;-;3,4580;-;-;-;
ENE 2004;-;-;-;-;2,2160;3,4750;-;-;3,0960;2,2200;3,7500;5,7500;4,7500;9,0200;-;-;-;-;-;-;-;-;-;-;2004-Feb-21;2004-Feb-21;2004-Feb-21;-;3,4750;-;-;-;
FEB 2004;-;-;-;-;2,1630;3,4460;-;-;3,1070;2,1660;3,7500;5,7500;4,7500;9,0200;-;-;-;-;-;-;-;-;-;-;2004-Mar-23;2004-Mar-23;2004-Mar-23;-;3,4460;-;-;-;
MAR 2004;-;-;-;-;2,0550;3,3580;-;-;3,0820;2,0560;3,7500;5,7500;4,7500;9,0200;-;-;-;-;-;-;-;-;-;-;2004-Abr-22;2004-Abr-22;2004-Abr-22;-;3,3580;-;-;-;
ABR 2004;-;-;-;-;2,1630;3,2790;-;-;3,0860;2,1640;3,7500;5,7500;4,7500;9,0200;-;-;-;-;-;-;-;-;-;-;2004-May-22;2004-May-22;2004-May-22;-;3,2790;-;-;-;
MAY 2004;-;-;-;-;2,2970;3,2550;-;-;3,0860;2,2970;3,7500;5,7500;4,7500;9,0200;-;-;-;-;-;-;-;-;-;-;2004-Jun-23;2004-Jun-23;2004-Jun-23;-;3,2550;-;-;-;
JUN 2004;-;-;-;-;2,4040;3,3070;-;-;3,1270;2,4050;3,7500;5,7500;4,7500;9,0200;-;-;-;-;-;-;-;-;-;-;2004-Jul-23;2004-Jul-23;2004-Jul-23;-;3,3070;-;-;-;
JUL 2004;-;-;-;-;2,3610;3,3230;-;-;3,1530;2,3670;3,7500;5,7500;4,7500;9,0100;-;-;-;-;-;-;-;-;-;-;2004-Ago-21;2004-Ago-21;2004-Ago-21;-;3,3230;-;-;-;
AGO 2004;-;-;-;-;2,3020;3,3920;-;-;3,1420;2,3050;3,7500;5,7500;4,7500;9,0100;-;-;-;-;-;-;-;-;-;-;2004-Sep-24;2004-Sep-24;2004-Sep-24;-;3,3920;-;-;-;
SEP 2004;-;-;-;-;2,3770;3,3670;-;-;3,1690;2,3770;3,7500;5,7500;4,7500;9,0100;-;-;-;-;-;-;-;-;-;-;2004-Oct-23;2004-Oct-23;2004-Oct-23;-;3,3670;-;-;-;
OCT 2004;-;-;-;-;2,3160;3,3320;-;-;3,1360;2,3170;3,7500;5,7500;4,7500;9,0100;-;-;-;-;-;-;-;-;-;-;2004-Nov-22;2004-Nov-22;2004-Nov-22;-;3,3320;-;-;-;
NOV 2004;-;-;-;-;2,3280;3,3830;-;-;3,0760;2,3300;3,7500;5,7500;4,7500;9,0100;-;-;-;-;-;-;-;-;-;-;2004-Dic-23;2004-Dic-23;2004-Dic-23;-;3,3830;-;-;-;
DIC 2004;-;-;-;-;2,3010;3,3490;-;-;2,9660;2,3060;3,7500;5,7500;4,7500;9,0100;-;-;-;-;-;-;-;-;-;-;2005-Ene-24;2005-Ene-24;2005-Ene-24;-;3,3490;-;-;-;
ENE 2005;-;-;-;-;2,3120;3,3340;-;-;2,8920;2,3140;4,0000;6,0000;5,0000;9,0900;-;-;-;-;-;-;-;-;-;-;2005-Feb-23;2005-Feb-23;2005-Feb-23;-;3,3340;-;-;-;
FEB 2005;-;-;-;-;2,3100;3,3320;-;-;2,8350;2,3080;4,0000;6,0000;5,0000;9,0900;-;-;-;-;-;-;-;-;-;-;2005-Mar-22;2005-Mar-22;2005-Mar-22;-;3,3320;-;-;-;
MAR 2005;-;-;-;-;2,3350;3,3430;-;-;2,8000;2,3330;4,0000;6,0000;5,0000;9,0900;-;-;-;-;-;-;-;-;-;-;2005-Abr-23;2005-Abr-23;2005-Abr-23;-;3,3430;-;-;-;
ABR 2005;-;-;-;-;2,2650;3,3250;-;-;2,7730;2,2700;4,0000;6,0000;5,0000;9,0900;-;-;-;-;-;-;-;-;-;-;2005-May-23;2005-May-23;2005-May-23;-;3,3250;-;-;-;
MAY 2005;-;-;-;-;2,1930;3,3180;-;-;2,7270;2,1950;4,0000;6,0000;5,0000;9,0900;-;-;-;-;-;-;-;-;-;-;2005-Jun-25;2005-Jun-25;2005-Jun-25;-;3,3180;-;-;-;
JUN 2005;-;-;-;-;2,1030;3,2700;-;-;2,6650;2,1050;4,0000;6,0000;5,0000;9,0900;-;-;-;-;-;-;-;-;-;-;2005-Jul-23;2005-Jul-23;2005-Jul-23;-;3,2700;-;-;-;
